"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3252","Test invalid login attempts","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","3330","Test successful login for partner","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","3092","Test invalid login attempts","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","3771","Test successful login for merchant","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","7019","test_register_new_store","tests","2026-03-13","broken","2026-03-13","","test_store_manage","",""
"","2677","test_find_store_with_phone","tests","2026-03-13","failed","2026-03-13","","test_store_manage","",""
"","3043","test_change_store_password[-Vui]","tests","2026-03-13","passed","2026-03-13","","test_store_manage","",""
"","1732","Test invalid login attempts","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","5689","test_lock_store","tests","2026-03-13","failed","2026-03-13","","test_store_manage","",""
"","2301","test_find_store_with_name","tests","2026-03-13","failed","2026-03-13","","test_store_manage","",""
"","3217","Test invalid login attempts","tests","2026-03-13","passed","2026-03-13","","test_login","",""
"","1590","test_enter_voucher","tests","2026-03-13","passed","2026-03-13","","test_voucher_scan","",""
"","3572","test_change_store_password[123456789-Th\xe0nh c\xf4ng]","tests","2026-03-13","passed","2026-03-13","","test_store_manage","",""
